roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
-0.792838,-92.245369,217.72168,122,43,0.024455,-0.375773,0.1396,0.108946,2
-1.779849,-87.842178,313.568115,61,101,0.022454,-0.372969,0.169197,0.112194,2
-1.72381,-83.156219,336.124084,42,124,-0.002611,-0.347087,0.307925,0.120802,2
0.419239,-78.624596,337.844574,39,132,-0.096474,-0.298588,0.451732,0.131815,2
1.543647,-78.076103,334.115631,38,137,-0.187301,-0.243833,0.594434,0.137894,0
3.269744,-77.680473,331.248962,38,127,-0.275648,-0.191857,0.738096,0.139203,0
4.268553,-81.270287,329.616608,40,122,-0.338119,-0.1462,0.875418,0.139581,0
0.477838,-84.191971,331.158081,40,120,-0.361215,-0.098113,0.942688,0.139532,0
-0.008678,-86.238106,335.322388,40,115,-0.362063,-0.049801,0.923309,0.1396,0
3.020365,-88.362999,338.830109,40,114,-0.364169,-0.007753,0.794712,0.139629,0
4.199796,-89.999969,340.446808,41,115,-0.376577,0.01047,0.673774,0.139619,0
3.299722,-91.953323,342.3526,41,113,-0.380678,0.013542,0.528231,0.139581,0
1.237333,-93.465332,346.008209,45,111,-0.381557,0.01444,0.38613,0.139513,0
1.922539,-94.410416,349.849548,46,112,-0.381762,0.014627,0.243602,0.139629,0
1.19767,-93.593315,351.436218,43,112,-0.381775,0.014658,0.114608,0.139571,0
3.155113,-94.095337,351.695679,44,110,-0.381862,0.014764,0.066785,0.139668,0
3.403719,-94.638885,351.841797,45,111,-0.381781,0.01467,0.077168,0.139581,0
1.402379,-94.771851,352.280334,44,113,-0.381781,0.014646,0.08503,0.139571,0
1.077405,-94.780418,353.43869,45,116,-0.381812,0.014751,0.086581,0.139629,0
1.672333,-94.898247,354.042633,44,118,-0.381812,0.014702,0.087046,0.139629,0
1.635803,-94.946014,354.166229,45,119,-0.381756,0.014652,0.087182,0.139532,0
1.677694,-95.029083,354.196014,44,117,-0.3818,0.014683,0.087182,0.13959,0
1.802988,-95.191872,354.730316,44,117,-0.381856,0.014764,0.087134,0.139639,0
1.601222,-95.3069,354.6651,45,116,-0.381762,0.014664,0.087202,0.139571,0
1.602548,-95.355202,354.908173,45,115,-0.381769,0.014664,0.087221,0.139532,0
1.820105,-95.456589,355.078613,45,118,-0.381831,0.014689,0.087153,0.139629,0
1.554514,-95.400543,354.889435,45,121,-0.381837,0.014714,0.087143,0.139629,0
0.871773,-95.647484,354.446594,44,127,-0.381762,0.014714,0.087211,0.139581,0
1.436735,-96.304062,356.488556,44,127,-0.381769,0.014714,0.087211,0.139581,0
4.580948,-96.89016,356.166901,44,131,-0.381843,0.014714,0.087153,0.139581,0
4.657852,-97.194992,356.560852,45,134,-0.381794,0.01467,0.087153,0.139581,0
4.914277,-97.170395,357.374634,45,139,-0.381794,0.014695,0.087192,0.139581,0
5.278998,-96.850342,357.574768,47,142,-0.381794,0.01467,0.087211,0.139581,0
4.82478,-95.402596,357.514709,89,129,-0.381825,0.014702,0.087221,0.139581,0
